"name","credits","code","level","url","location","teaching_form","pace_of_study","language_of_instruction","outline_url"
"Master's Programme in Chemistry – Theoretical and Computational Chemistry","120","TKE2M","Master","https://www.uu.se/en/study/programme/masters-programme-chemistry-theoretical-and-computational-chemistry","Uppsala","On-campus","100%","English","https://www.uu.se/en/study/outline?query=3313"
"Master's Programme in Chemistry – Analytical Chemistry","120","TKE2M","Master","https://www.uu.se/en/study/programme/masters-programme-chemistry-analytical-chemistry","Uppsala","On-campus","100%","English","https://www.uu.se/en/study/outline?query=3306"
"Master's Programme in Chemistry – Biochemistry","120","TKE2M","Master","https://www.uu.se/en/study/programme/masters-programme-chemistry-biochemistry","Uppsala","On-campus","100%","English","https://www.uu.se/en/study/outline?query=3307"
"Master's Programme in Chemistry – Physical Chemistry","120","TKE2M","Master","https://www.uu.se/en/study/programme/masters-programme-chemistry-physical-chemistry","Uppsala","On-campus","100%","English","https://www.uu.se/en/study/outline?query=3309"
"Master's Programme in Chemistry – Chemical Biology","120","TKE2M","Master","https://www.uu.se/en/study/programme/masters-programme-chemistry-chemical-biology","Uppsala","On-campus","100%","English","https://www.uu.se/en/study/outline?query=3310"
"Master's Programme in Chemistry – Chemistry for Renewable Energy","120","TKE2M","Master","https://www.uu.se/en/study/programme/masters-programme-chemistry-chemistry-for-renewable-energy","Uppsala","On-campus","100%","English","https://www.uu.se/en/study/outline?query=3311"
"Master's Programme in Chemistry – Organic Chemistry","120","TKE2M","Master","https://www.uu.se/en/study/programme/masters-programme-chemistry-organic-chemistry","Uppsala","On-campus","100%","English","https://www.uu.se/en/study/outline?query=3312"
"Master's Programme in Computational Science","120","TBV2M","Master","https://www.uu.se/en/study/programme/masters-programme-computational-science","Uppsala","On-campus","100%","English","https://www.uu.se/en/study/outline?query=3294"
"Master's Programme in Computer Science","120","TDV2M","Master","https://www.uu.se/en/study/programme/masters-programme-computer-science","Uppsala","On-campus","100%","English","https://www.uu.se/en/study/outline?query=3190"
"Master's Programme in Computer and Information Engineering","300","TIT2Y","Master","https://www.uu.se/en/study/programme?query=TIT2Y","Uppsala","On-campus","100%","Swedish","https://www.uu.se/en/study/outline?query=3353"
"Master's Programme in Data Science – Machine Learning and Statistics","120","TDA2M","Master","https://www.uu.se/en/study/programme/masters-programme-data-science-machine-learning-and-statistics","Uppsala","On-campus","100%","English","https://www.uu.se/en/study/outline?query=3187"
